[3] శకుంతల  || [686] శకుంతల 
[138] రాధిక  || no matches
[139] గీతాంజలి  || no matches
[140] ద్రోహి  || [900] ద్రోహి , [3203] ద్రోహి 
[141] బాలరాజు || no matches
[142] భక్త శిరియాల || no matches
[143] మదాలస || no matches
[144] వింధ్యరాణి || no matches
[145] కీలుగుర్రం || no matches
[146] గుణసుందరి కథ || no matches
[147] జీవితం || [2302] విజేత
[148] ధర్మాంగద || no matches
[149] బ్రహ్మరధం  || [135] బ్రహ్మరధం 
[150] మన దేశం || no matches
[151] రక్షరేఖ || no matches
[152] లైలా మజ్ను || no matches
[153] అదృష్టదీపుడు || no matches
[154] అపూర్వ సహోదరులు  || [2195] అపూర్వ సహోదరులు , [2628] అపూర్వ సహోదరులు 
[155] ఆహుతి || no matches
[156] తిరుగుబాటు  || [2243] తిరుగుబాటు 
[157] పరమానందయ్య శిష్యుల కథ  || no matches
[158] పల్లెటూరి పిల్ల || no matches
[159] బీదలపాట్లు  || [1043] బీదలపాట్లు 
[160] మాయా రంభ || no matches
[161] మొదటి రాత్రి  || [1756] మొదటి రాత్రి 
[162] రాజ విక్రమ || no matches
[163] లక్ష్మణ || [1566] కల్యాణం
[164] లక్ష్మమ్మ || no matches
[165] వాలి సుగ్రీవ || no matches
[166] శ్రీ లక్ష్మమ్మ కథ  || no matches
[167] శ్రీ సాయిబాబా || no matches
[168] షావుకారు || no matches
[169] సంసారం  || [1277] సంసారం , [2614] సంసారం 
[170] స్వప్న సుందరి || no matches
[171] అగ్నిపరీక్ష  || [1798] అగ్నిపరీక్ష 
[172] ఆకాశరాజు || no matches
[173] ఆడ జన్మ || [876] ఆడజన్మ 
[174] చంద్రవంక  || no matches
[175] జీవిత నౌక  || [1400] జీవిత నౌక 
[176] తిలోత్తమ || no matches
[177] దీక్ష  || [1173] దీక్ష 
[178] నవ్వితే నవరత్నాలు || no matches
[179] నిర్దోషి  || [713] నిర్దోషి , [2135] నిర్దోషి 
[180] పాతాళ భైరవి || no matches
[181] పెంకిపిల్ల || no matches
[182] పెళ్లికూతురు || no matches
[183] పేరంటాలు || [204] పల్లెటూరు
[184] మంగళ || no matches
[185] మంత్ర దండం  || [2273] మంత్ర దండం 
[186] మల్లీశ్వరి || [3618] మల్లీశ్వరి
[187] మాయ పిల్ల || no matches
[188] మాయలమారి || no matches
[189] రూపవతి  || no matches
[190] సర్వాధికారి || [733] రక్తసింధూరం, [20039] రక్తసింధూరం
[191] సౌదామిని || no matches
[192] స్త్రీ సాహసం || no matches
[193] అత్తింటి కాపురం || no matches
[194] ఆకలి  || no matches
[195] ఆడబ్రతుకు || no matches
[196] ఆదర్శం  || [2905] ఆదర్శం 
[197] కాంచన  || no matches
[198] చిన్న కొడుకు || no matches
[199] చిన్న కోడలు  || [2739] చిన్న కోడలు 
[200] చిన్నమ్మ కథ || no matches
[201] టింగురంగ || no matches
[202] దాసి || no matches
[203] ధర్మ దేవత  || [901] ధర్మ దేవత 
[204] పల్లెటూరు || [183] పేరంటాలు
[205] పెళ్ళిచేసి చూడు || no matches
[206] పేద రైతు || no matches
[207] ప్రజాసేవ || no matches
[208] ప్రియురాలు || no matches
[209] ప్రేమ  || [2669] ప్రేమ 
[210] మరదలి పెళ్ళి || no matches
[211] మానవతి || no matches
[212] ముగ్గురు కొడుకులు  || [2596] ముగ్గురు కొడుకులు 
[213] రాజేశ్వరి || no matches
[214] శాంతి || [504] శాంత
[215] సంక్రాంతి  || no matches
[216] సవతి పోరు || no matches
[217] సాహసం  || [2988] సాహసం 
[218] సింగారి || no matches
[219] సువర్ణమాల || no matches
[220] అమరకవి || no matches
[221] అమ్మలక్కలు || no matches
[222] ఆపేక్ష || no matches
[223] ఇన్స్‌పెక్టర్ || no matches
[224] ఒక తల్లి పిల్లలు || no matches
[225] కన్నతల్లి  || [1018] కన్నతల్లి 
[226] కోడరికం || no matches
[227] గుమస్తా || [2786] సంగ్రామం
[228] చండీరాణి  || [2025] చండీరాణి 
[229] జగన్మోహిని  || [1481] జగన్మోహిని 
[230] తండ్రి  || no matches
[231] దేవదాసు  || [1174] దేవదాసు , [3629] దేవదాసు 
[232] నా ఇల్లు || no matches
[233] నా చెల్లెలు || no matches
[234] పక్కింటి అమ్మాయి  || [1854] పక్కింటి అమ్మాయి 
[235] పరదేశి  || [3427] పరదేశి 
[236] పరోపకారం || no matches
[237] పిచ్చి పుల్లయ్య  || [2840] పిచ్చి పుల్లయ్య 
[238] పుట్టిల్లు || no matches
[239] పెంపుడు కొడుకు || no matches
[240] ప్రతిజ్ఞ  || [1954] ప్రతిజ్ఙ , [3285] ప్రతిజ్ఞ 
[241] ప్రపంచం  || no matches
[242] ప్రేమలేఖలు  || [1414] ప్రేమలేఖలు 
[243] బ్రతుకుతెరువు || no matches
[244] మంజరి  || no matches
[245] రోహిణి  || no matches
[246] లక్ష్మి  || [1768] లక్ష్మి , [1890] లక్ష్మి 
[247] వయ్యారి భామ || no matches
[248] అంతా మనవాళ్లే || no matches
[249] అగ్గిరాముడు  || [2711] అగ్గిరాముడు 
[250] అన్నదాత || no matches
[251] అమర సందేశం || no matches
[252] ఇద్దరు పెళ్లాలు || no matches
[253] కాళహస్తి మహాత్యం || no matches
[254] చంద్రహారం || no matches
[255] చక్రపాణి  || no matches
[256] జాతక ఫలం || no matches
[257] జ్యోతి  || [1300] జ్యోతి 
[258] తోడుదొంగలు  || [1841] తోడుదొంగలు , [3030] తోడుదొంగలు , [20055] తోడు దొంగలు
[259] నిరుపేదలు || no matches
[260] పరివర్తన  || [1246] పరివర్తన 
[261] పల్లె పడుచు  || [1183] పల్లె పడుచు 
[262] పెద్దమనుషులు  || [3495] పెద్దమనుషులు 
[263] ప్రజా రాజ్యం  || no matches
[264] బంగారు భూమి  || [1961] బంగారు భూమి 
[265] బంగారుపాప || no matches
[266] బాలానందం || [2054] బలిదానం
[267] మనోహర || [3585] మనోహరం
[268] మా గోపి || no matches
[269] మేనరికం || no matches
[270] రాజగురువు || no matches
[271] రాజీ నాప్రాణం || no matches
[272] రాజు-పేద || [2573] పృద్వీ రాజ్
[273] రేచుక్క  || [2297] రేచుక్క 
[274] వద్దంటే డబ్బు || no matches
[275] విప్రనారాయణ || no matches
[276] సంఘం || no matches
[277] సతీ సక్కుబాయి  || [651] సతీ సక్కుబాయి 
[278] అంతా ఇంతే || no matches
[279] అంతేకావాలి || no matches
[280] అతనెవరు || no matches
[281] అనార్కలి || no matches
[282] అర్ధాంగి  || [1367] అర్ధాంగి , [3255] అర్ధాంగి 
[283] ఆడబిడ్డ || no matches
[284] కన్యాదానం  || [3408] కన్యాదానం 
[285] కన్యాశుల్కం  || no matches
[286] చెరపకురా చెడేవు || no matches
[287] జయసింహ || no matches
[288] దొంగ రాముడు  || [2564] దొంగ రాముడు 
[289] పసుపు కుంకుమ  || [3570] పసుపు కుంకుమ 
[290] బీదల ఆస్తి || no matches
[291] మిస్సమ్మ || no matches
[292] రోజులు మారాయి  || [2166] రోజులు మారాయి 
[293] వదిన  || no matches
[294] వదినగారి గాజులు  || no matches
[295] విజయగౌరి || no matches
[296] శ్రీకృష్ణ తులాభారం  || [688] శ్రీకృష్ణ తులాభారం 
[297] శ్రీజగన్నాథ మహాత్యం || no matches
[298] సంతానం  || [2175] సంతానం 
[299] సంతోషం || no matches
[300] సంతోషం  || no matches
[301] అమరజీవి  || [1997] అమరజీవి 
[302] ఆలీబాబా 40 దొంగలు  || [64] ఆలీబాబా 40 దొంగలు 
[303] ఇలవేల్పు || no matches
[304] ఉమాసుందరి || no matches
[305] ఏది నిజం || no matches
[306] కనకతార || [422] కన్నకూతురు
[307] చరణదాసి || no matches
[308] చింతామణి  || [4] చింతామణి 
[309] చిరంజీవులు || no matches
[310] జయం మనదేరా  || [3560] జయం మనదేరా 
[311] తెనాలి రామకృష్ణ || no matches
[312] నాగపంచమి || no matches
[313] నాగులచవితి  || no matches
[314] పెంకి పెళ్ళాం || no matches
[315] బాల సన్యాసమ్మ కథ || no matches
[316] భక్త మార్కండేయ || no matches
[317] భలే రాముడు || no matches
[318] ముద్దు బిడ్డ  || [2489] ముద్దు బిడ్డ 
[319] మేలుకొలుపు  || [1514] మేలుకొలుపు 
[320] శ్రీ గౌరీ మహత్యం || no matches
[321] సదారమ || [607] రామదాసు
[322] సొంతవూరు || no matches
[323] హరిశ్చంద్ర  || [19] హరిశ్చంద్ర 
[324] అక్కాచెల్లెళ్లు  || [2997] అక్కాచెల్లెళ్లు 
[325] అల్లావుద్దీన్ అద్భుతదీపం || no matches
[326] ఆలుమగలు  || [382] ఆలుమగలు , [1370] ఆలుమగలు , [3176] ఆలుమగలు 
[327] ఎమ్మెల్యే || no matches
[328] కుటుంబ గౌరవం  || [2110] కుటుంబ గౌరవం , [3338] కుటుంబ గౌరవం 
[329] గంధర్వ కన్య  || [1577] గంధర్వ కన్య 
[330] తోడికోడళ్ళు  || [3113] తోడికోడళ్ళు 
[331] దాంపత్యం  || [2245] దాంపత్యం 
[332] దొంగల్లో దొర  || [2249] దొంగల్లో దొర 
[333] నలదమయంతి || no matches
[334] పాండురంగ మహత్యం || no matches
[335] పెద్దరికాలు || no matches
[336] ప్రేమే దైవం || no matches
[337] భలే అమ్మాయిలు  || no matches
[338] భలే బావ || no matches
[339] భాగ్యరేఖ || no matches
[340] మాయాబజార్ || no matches
[341] రాణి రంగమ్మ || no matches
[342] రేపు నీదే || no matches
[343] వద్దంటే పెళ్ళి || no matches
[344] వరుడు కావాలి || no matches
[345] వినాయక చవితి  || no matches
[346] వీరకంకణం || no matches
[347] సంకల్పం  || [3236] సంకల్పం 
[348] సతీ అనసూయ  || [1003] సతీ అనసూయ 
[349] సతీ సావిత్రి  || [1532] సతీ సావిత్రి 
[350] సారంగధర || no matches
[351] సువర్ణసుందరి || no matches
[352] స్వయం ప్రభ || no matches
[353] అత్తా ఒకింటి కోడలే || no matches
[354] అన్నా తమ్ముడు  || no matches
[355] ఆడపెత్తనం || no matches
[356] ఇంటిగుట్టు || [20040] ఇంటిగుట్టు
[357] ఎత్తుకు పైఎత్తు  || [1460] ఎత్తుకు పైఎత్తు 
[358] కార్తవరాయని కథ || no matches
[359] కొండవీటి దొంగ  || no matches
[360] గంగా గౌరీ సంవాదం || no matches
[361] చెంచులక్ష్మి  || [106] చెంచులక్ష్మి 
